,,,,,,,,,,,,,,,,,,,
,,KOH,Sanket,,1602467,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,AB1/AB2/BA1/BA2,parallel/serial,smooth/conflict,,,,,,,,,,,,,,,,
,trajectory,motion type,random,t0_cam_1_seq,t0_sec,tf_cam_1_seq,tf_sec,duration,t0_precise,tf_precise,duration_precise,negotiation,tdec_sec,outcome,initialOrient,handle_1,handle_2,instant_decision,comment
1,AB1,parallel,,17475,1602467318,17920,1602467330,12,319.3629,330.0816,10.7187,w2,324.56,l1,xl,Sanket,KOH,0,
2,BA2,serial,,18006,1602467332,18401,1602467341,9,332.2502,341.82,9.5698,a2,336.12,l2,xr,Sanket,KOH,1,
3,AB1,serial,,18487,343,18967,356,13,344.1228,356.6791,12.5563,a2,347.52,l2,xr,Sanket,KOH,0,
4,BA1,parallel,,19077,359,19520,372,13,359.1155,372.8226,13.7071,,363.59,r1,xr,Sanket,KOH,0,
5,AB2,parallel,,20655,402,21000,413,11,402.7888,411.8186,9.0298,,405.48,r2,xl,Sanket,KOH,0,
6,BA1,parallel,,21010,413,21427,424,11,414.3004,424.2445,9.9441,,416.85,r1,xr,Sanket,KOH,1,
7,AB2,parallel,,21517,427,21945,439,12,427.3242,437.8941,10.5699,,431.98,r2,xl,Sanket,KOH,0,
8,BA2,serial,,22016,440,22349,449,9,440.5338,449.8343,9.3005,,444.92,l2,xr,Sanket,KOH,0,
9,AB2,parallel,,22476,453,22820,463,10,452.9302,463.0416,10.1114,,456.75,r1,xr,Sanket,KOH,0,
10,BA2,parallel,,23287,476,23654,486,10,477.0748,486.4523,9.3775,,481.85,l1,xl,Sanket,KOH,0,
11,AB1,serial,,23695,487,24074,498,11,487.1545,498.2228,11.0683,,492.21,l2,xr,Sanket,KOH,1,
12,BA2,serial,,24167,500,24667,514,14,501.2747,514.5179,13.2432,,506.8,l2,xr,Sanket,KOH,0,
13,AB2,serial,,24769,517,25060,526,9,516.8246,525.9889,9.1643,,520.69,r1,xr,Sanket,KOH,0,
14,BA1,serial->parallel,,25128,527,25650,542,15,528.4068,542.1748,13.768,,530.9,r1,xr,Sanket,KOH,0,
15,AB2,serial,,25687,543,26007,552,9,543.3702,552.2772,8.907,,547.72,r2,xl,Sanket,KOH,1,
16,BA2,parallel,,26207,557,26661,570,13,557.6571,571.0303,13.3732,,565.59,l1,xl,Sanket,KOH,0,gesture negotiation
17,AB1,serial,,26749,572,27046,581,9,572.7221,580.6508,7.9287,,576.39,l2,xr,Sanket,KOH,0,
18,BA2,serial,,27147,583,27509,594,11,583.7886,595.4679,11.6793,,587.6,l2,xr,Sanket,KOH,1,
