,,,,,,,,,,,,,,,,,
,,KOH,Zhanibek,,1602469,,,,,,,,,,,,
,AB1/AB2/BA1/BA2,parallel/serial,smooth/conflict,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,trajectory,motion type,random,t0_cam_1_seq,t0_sec,tf_cam_1_seq,tf_sec,duration,t0_precise,tf_precise,duration_precise,negotiation,tdec_sec,outcome,initialOrient,handle_1,handle_2
1,AB1,serial,,92450,1602469200,92741,1602469210,10,199.2581,209.7142,10.4561,,204.58,l2,xr,Zhanibek,KOH
2,BA2,serial,,92905,1602469214,93272,1602469226,12,213.5372,226.8237,13.2865,,219.68,l2,xr,Zhanibek,KOH
3,AB2,parallel,,93419,231,93632,238,7,229.8808,238.5025,8.6217,,233.25,r1,xr,Zhanibek,KOH
4,BA1,serial,,93839,243,94106,252,9,242.8508,251.9875,9.1367,,247.58,r2,xl,Zhanibek,KOH
5,AB1,serial,,94183,254,94476,263,9,254.2115,263.4201,9.2086,,257.38,l1,xl,Zhanibek,KOH
6,BA2,parallel,,94658,268,94947,278,10,267.3638,278.1588,10.795,,272.52,l1,xl,Zhanibek,KOH
7,AB1,serial,,95105,282,95352,290,8,281.568,290.6381,9.0701,,285.19,l2,xr,Zhanibek,KOH
8,BA2,serial,,95510,295,95799,304,9,294.0758,303.9559,9.8801,,299.26,l2,xr,Zhanibek,KOH
9,AB1,serial,,95963,309,96295,319,10,308.7495,318.8996,10.1501,,313.5,l2,xr,Zhanibek,KOH
10,BA1,parallel,,96457,324,96817,335,11,324.2548,335.8597,11.6049,,328.69,r1,xr,Zhanibek,KOH
11,AB1,parallel,,97014,341,97376,352,11,341.8078,351.7594,9.9516,,344.78,l1,xl,Zhanibek,KOH
12,BA2,serial,,97562,357,97839,365,8,357.0105,365.6554,8.6449,,360.92,l2,xr,Zhanibek,KOH
13,AB1,serial,,97997,370,98270,379,9,370.2103,379.782,9.5717,,374.62,l2,xr,Zhanibek,KOH
14,BA2,serial,,98623,389,98910,399,10,389.7527,399.0544,9.3017,,394.85,l2,xr,Zhanibek,KOH
15,AB1,serial,,99113,404,99411,413,9,404.2812,413.1534,8.8722,,407.62,l2,xr,Zhanibek,KOH
16,BA2,serial,,99580,418,99980,430,12,418.0146,430.0905,12.0759,,422.68,l2,xr,Zhanibek,KOH
17,AB2,parallel,,100438,443,100715,452,9,443.3333,452.3954,9.0621,,446.95,r1,xr,Zhanibek,KOH
18,BA1,serial,,100870,456,101226,467,11,457.5089,466.6756,9.1667,,461.52,r2,xl,Zhanibek,KOH
19,AB2,serial,,101354,470,101649,480,10,470.4635,480.4401,9.9766,,475.48,r2,xl,Zhanibek,KOH
20,BA2,parallel,,101853,486,102142,495,9,485.8427,495.2292,9.3865,,488.8,l1,xl,Zhanibek,KOH
